decay,gamma,threshold,use_arrival_rate,nab_score,detection_rate,median_lead,precision
0.005,0.5,0.2,False,60.22845106934543,86.26053143227479,22.0,1.0335163306437931
0.02,0.25,0.2,False,60.220890041045585,85.87167854828256,22.0,0.9701934653679791
0.02,0.5,0.2,True,59.695398574206095,88.78807517822423,21.0,1.2688857412653447
0.05,0.5,0.15,True,59.068913372218624,85.35320803629294,22.0,0.9736437820474452
0.005,0.25,0.15,False,58.95927846187081,85.67725210628646,22.0,1.0588374340399203
0.01,0.25,0.2,False,58.43864765608123,85.22359040829552,22.0,1.062086375586658
0.01,0.25,0.15,True,58.24152084683517,89.63058976020739,21.0,1.5157298404917836
0.05,0.25,0.1,True,57.886152516742285,84.38107582631238,22.0,0.9733782068076016
0.005,0.25,0.2,False,57.350399654353,85.02916396629942,22.0,1.1686976273059333
0.005,0.25,0.2,True,52.553467271548925,86.3253402462735,20.0,2.0086064040198854
0.02,0.25,0.15,True,51.27727370922446,83.86260531432275,20.0,1.6917790113666402
0.05,0.5,0.2,True,50.03078418664939,80.29812054439404,21.0,1.3905821018306523
0.01,0.25,0.2,True,45.84845538993304,80.16850291639663,19.0,2.461579402568026
0.05,0.25,0.15,True,45.46716353424066,77.12248865845756,20.0,1.7099906044472284
0.02,0.25,0.2,True,40.6448476992871,76.08554763447829,18.0,2.834863130533669
0.05,0.25,0.2,True,36.21138474832577,71.3545042125729,17.0,2.959272693879425
